,rank,title,artist,date
15,16,А если это любовь?,HammAli & Navai,01/09/2020
16,17,А уже фсё,Mitchel,01/09/2020
17,18,На своём вайбе (feat. Гуф),Jah Khalib,01/09/2020
18,19,Вали,Канги,01/09/2020
19,20,А за окном дожди,JONY,01/09/2020
20,21,Ты беспощадна,JONY,01/09/2020
21,22,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,01/09/2020
22,23,Меня не будет (feat. SALUKI),ANIKV,01/09/2020
23,24,Там ревели горы,Miyagi & Andy Panda,01/09/2020
24,25,Нежность,Mary Gu,01/09/2020
25,26,Ураган (feat. V $ X V PRiNCE),Guf & Murovei,01/09/2020
26,27,Blinding Lights,The Weeknd,01/09/2020
27,28,Fly 2 (feat. NILETTO),Zivert,01/09/2020
28,29,Не смогу,VERBEE & KARA KROSS,01/09/2020
29,30,Lovefool,twocolors,01/09/2020
30,31,Ice Cream,BLACKPINK & Selena Gomez,01/09/2020
31,32,Было или нет?,ANIKV & SALUKI,01/09/2020
32,33,Плачу на техно,Cream Soda & Khleb,01/09/2020
33,34,ICE (feat. MORGENSHTERN),MORGENSHTERN,01/09/2020
34,35,В последний раз,Тима Белорусских,01/09/2020
35,36,Lonely,Max Barskih & Джаро,01/09/2020
36,37,ВЕЧЕРиНОЧКА,MONATIK & Вера Брежнева,01/09/2020
37,38,Океан,Mari Kraymbreri,01/09/2020
38,39,Девочка танцуй,Artik & Asti,01/09/2020
39,40,Небесные розы,JONY,01/09/2020
40,41,Boom Boom,LOBODA & PHARAOH,01/09/2020
41,42,Ей нравится,Lesha Svik,01/09/2020
42,43,Забываю обещания,Andro,01/09/2020
43,44,Комета,JONY,01/09/2020
44,45,Utopia,Miyagi & Andy Panda,01/09/2020
45,46,Французский поцелуй,Misha Marvin & Hanna,01/09/2020
46,47,Тепло,Max Korzh,01/09/2020
47,48,Покинула чат,Klava Koka,01/09/2020
48,49,F..k that,Bastard!,01/09/2020
49,50,Бумажный дом,Mot,01/09/2020
50,51,Ананасовый сироп,Natan & Ганвест,01/09/2020
51,52,Yamakasi,Miyagi & Andy Panda,01/09/2020
52,53,Положение,DIOR & Samo & ID,01/09/2020
53,54,Любимка,NILETTO,01/09/2020
54,55,Август,Intelligency,01/09/2020
55,56,Не пускайте танцевать (feat. Aslai),"Timran, Zell & Batrai",01/09/2020
56,57,Dynamite,BTS,01/09/2020
57,58,Двигаться,Raim,01/09/2020
58,59,Прятки,HammAli & Navai,01/09/2020
59,60,Минимум,Ямаджи & Фейджи,01/09/2020
60,61,ЯТЛ,Zivert,01/09/2020
61,62,BALENCIAGA,FILV,01/09/2020
62,63,Девочка с картинки,Egor Kreed,01/09/2020
63,64,Kosandra,Miyagi & Andy Panda,01/09/2020
64,65,Грустный дэнс (feat. Артём Качер),Artik & Asti,01/09/2020
65,66,Beverly Hills,Zivert,01/09/2020
66,67,Положение,Scriptonite,01/09/2020
67,68,Atlant,Miyagi & Andy Panda,01/09/2020
68,69,Midnight Sky,Miley Cyrus,01/09/2020
69,70,Tantra,Miyagi & Andy Panda,01/09/2020
70,71,Moskva lyubit...,Scriptonite,01/09/2020
71,72,Credo,Zivert,01/09/2020
72,73,I Got Love (feat. Рем Дигга),Miyagi & Эндшпиль,01/09/2020
73,74,Все мимо,Artik & Asti,01/09/2020
74,75,Life,Zivert,01/09/2020
75,76,Kings & Queens,Ava Max,01/09/2020
76,77,Таблетка,Джаро & Ханза & kavabanga Depo kolibri,01/09/2020
77,78,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,01/09/2020
78,79,Mood (feat. iann dior),24kGoldn,01/09/2020
79,80,911,Allj,01/09/2020
80,81,Mira me bebè,Джаро & Ханза & Olga Buzova,01/09/2020
81,82,Камин (feat. JONY),EMIN,01/09/2020
82,83,Пряталась в ванной,Mari Kraymbreri,01/09/2020
83,84,Brooklyn (feat. TumaniYO),Miyagi & Andy Panda,01/09/2020
84,85,МАЛЬЧИК,ФОГЕЛЬ,01/09/2020
85,86,Луна не знает пути,Тайпан & Agunda,01/09/2020
86,87,Забил,ATL,01/09/2020
87,88,Дежавю,kizaru,01/09/2020
88,89,Dance Monkey,Tones And I,01/09/2020
89,90,Мадам,JONY & Andro,01/09/2020
90,91,Зелёные волны,Zivert,01/09/2020
91,92,Времена,Max Korzh,01/09/2020
92,93,Сердце Лёд,Cream Soda,01/09/2020
93,94,Watermelon Sugar,Harry Styles,01/09/2020
94,95,Останься (feat. BMB SpaceKid),FEDUK,01/09/2020
95,96,Roses (Imanbek Remix),SAINt JHN,01/09/2020
96,97,Мало нам,Miyagi & Andy Panda,01/09/2020
97,98,Любовь,T-Fest,01/09/2020
98,99,#ПеретанцуйМеня,Arthur Pirozhkov,01/09/2020
99,100,На тебя смотрю,VesKaspiyskiy & Jah Khalib,01/09/2020
