,rank,title,artist,week,raw_rank
80,81,Ревную,Liza Evans,24/08/20 - 30/08/20,140.143
81,82,Москва любит...,Скриптонит,24/08/20 - 30/08/20,140.286
82,83,Такси,"Мохито, Зомб",24/08/20 - 30/08/20,140.429
83,84,Cadillac Club Remix,"MORGENSHTERN, Элджей",24/08/20 - 30/08/20,140.571
84,85,МАЛЬЧИК,ФОГЕЛЬ,24/08/20 - 30/08/20,140.714
85,86,Море волнуется раз,Konfuz,24/08/20 - 30/08/20,140.857
86,87,Кометы,polnalyubvi,24/08/20 - 30/08/20,141.0
87,88,Бумажный дом,Мот,24/08/20 - 30/08/20,141.143
88,89,Fly 2,"Zivert, NILETTO",24/08/20 - 30/08/20,141.286
89,90,Atlant,Miyagi & Andy Panda,24/08/20 - 30/08/20,141.429
90,91,Она любила розы,Ислам Итляшев,24/08/20 - 30/08/20,141.571
91,92,Девочка танцуй,Artik & Asti,24/08/20 - 30/08/20,141.714
92,93,ВЕСНУШКИ,Тима Белорусских,24/08/20 - 30/08/20,141.857
93,94,Забываю обещания,Andro,24/08/20 - 30/08/20,142.0
94,95,Вальс,Ramil',24/08/20 - 30/08/20,142.143
95,96,Камин,EMIN feat. JONY,24/08/20 - 30/08/20,142.286
96,97,РАТАТАТАТА,"MORGENSHTERN, Витя АК",24/08/20 - 30/08/20,142.429
97,98,ЧЁРНЫЙ БУМЕР,DAVA feat. SERYOGA,24/08/20 - 30/08/20,142.571
98,99,Луна не знает пути,"Тайпан, Agunda",24/08/20 - 30/08/20,142.714
99,100,Психушка,Karna.val,24/08/20 - 30/08/20,142.857
0,1,Вали,Канги,28/08/20 - 03/09/20,64.857
1,2,БЕГИ feat. Poët,Dj Smash,28/08/20 - 03/09/20,65.429
2,3,Ты пари,JONY,28/08/20 - 03/09/20,66.714
3,4,Minor,Miyagi & Andy Panda,28/08/20 - 03/09/20,67.0
4,5,Не смогу,"VERBEE, KARA KROSS",28/08/20 - 03/09/20,68.143
5,6,Lollipop,"Gafur, JONY",28/08/20 - 03/09/20,68.714
6,7,Втюрилась,дора,28/08/20 - 03/09/20,69.571
7,8,Юность,Dabro,28/08/20 - 03/09/20,69.571
8,9,Минимум,"Ямаджи, Фейджи",28/08/20 - 03/09/20,70.0
9,10,Мир сошёл с ума,JONY,28/08/20 - 03/09/20,70.143
10,11,Fendi,Rakhim,28/08/20 - 03/09/20,71.143
11,12,Там ревели горы,Miyagi & Andy Panda,28/08/20 - 03/09/20,71.429
12,13,Твой поцелуй,"Асия, NЮ",28/08/20 - 03/09/20,72.571
13,14,Поболело и прошло,HENSY,28/08/20 - 03/09/20,72.857
14,15,Изгибы твоего тела,Buga,28/08/20 - 03/09/20,73.714
15,16,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,28/08/20 - 03/09/20,74.143
16,17,Cadillac,"MORGENSHTERN, Элджей",28/08/20 - 03/09/20,74.429
17,18,X.O,"The Limba, Andro",28/08/20 - 03/09/20,75.714
18,19,Hollywood,MACAN,28/08/20 - 03/09/20,75.714
19,20,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",28/08/20 - 03/09/20,76.571
20,21,Тепло,Макс Корж,28/08/20 - 03/09/20,76.714
21,22,А уже фсё,MITCHEL,28/08/20 - 03/09/20,78.143
22,23,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,28/08/20 - 03/09/20,78.143
23,24,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",28/08/20 - 03/09/20,78.571
24,25,неболей,"Баста, Zivert",28/08/20 - 03/09/20,79.714
25,26,ICE (feat. MORGENSHTERN),MORGENSHTERN,28/08/20 - 03/09/20,80.286
26,27,Краш,"Клава Кока, NILETTO",28/08/20 - 03/09/20,80.571
27,28,Да пошло всё,Мэвл,28/08/20 - 03/09/20,81.286
28,29,По щекам слёзы,"КУЧЕР, JANAGA",28/08/20 - 03/09/20,82.0
29,30,Ананасовый сироп,"Natan, Ганвест",28/08/20 - 03/09/20,82.143
30,31,А если это любовь?,HammAli & Navai,28/08/20 - 03/09/20,82.714
31,32,Влюбляешься зря,NLO,28/08/20 - 03/09/20,83.429
32,33,Небесные розы,JONY,28/08/20 - 03/09/20,84.143
33,34,Yamakasi,Miyagi & Andy Panda,28/08/20 - 03/09/20,84.714
34,35,А за окном дожди,JONY,28/08/20 - 03/09/20,85.571
35,36,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",28/08/20 - 03/09/20,86.0
36,37,Французский поцелуй,"Миша Марвин, Ханна",28/08/20 - 03/09/20,86.429
37,38,На тебя смотрю,"ВесЪ, Jah Khalib",28/08/20 - 03/09/20,86.714
38,39,Сияй,Ramil’,28/08/20 - 03/09/20,87.0
39,40,Such a Whore (Stellular Remix),JVLA,28/08/20 - 03/09/20,87.857
40,41,Спой,Миша Марвин feat. Мот,28/08/20 - 03/09/20,88.571
41,42,Меня не будет,ANIKV feat. SALUKI,28/08/20 - 03/09/20,89.0
42,43,Забил,ATL,28/08/20 - 03/09/20,89.0
43,44,77,MACAN,28/08/20 - 03/09/20,90.714
44,45,Ей нравится,Леша Свик,28/08/20 - 03/09/20,90.857
45,46,Если бы не ты,"Nebezao, NЮ",28/08/20 - 03/09/20,91.0
46,47,Двигаться,Raim,28/08/20 - 03/09/20,91.0
47,48,Были танцы,"Бьянка, Артур Бабич",28/08/20 - 03/09/20,91.857
48,49,Положение,"DIOR, Samo & ID",28/08/20 - 03/09/20,93.143
49,50,Нежность,Mary Gu,28/08/20 - 03/09/20,93.286
50,51,Ты беспощадна,JONY,28/08/20 - 03/09/20,93.714
51,52,BANG BANG,Смоки Мо feat. Guf,28/08/20 - 03/09/20,94.714
