,rank,title,artist,week,raw_rank
88,89,Beverly Hills,Zivert,24/08/20 - 30/08/20,141.286
89,90,Там ревели горы,Miyagi & Andy Panda,24/08/20 - 30/08/20,141.429
90,91,Seven Nation Army,The White Stripes,24/08/20 - 30/08/20,141.571
91,92,Mr. Brightside,The Killers,24/08/20 - 30/08/20,141.714
92,93,Nothing Else Matters,Metallica,24/08/20 - 30/08/20,141.857
93,94,Believer,Imagine Dragons,24/08/20 - 30/08/20,142.0
94,95,Supalonely,BENEE,24/08/20 - 30/08/20,142.143
95,96,ДИКАЯ ПУМА,Юлианна Караулова,24/08/20 - 30/08/20,142.286
96,97,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,24/08/20 - 30/08/20,142.429
97,98,Звезда по имени Солнце,Кино,24/08/20 - 30/08/20,142.571
98,99,ICE (feat. MORGENSHTERN),Morgenshtern,24/08/20 - 30/08/20,142.714
99,100,Fendi,Rakhim,24/08/20 - 30/08/20,142.857
