,rank,title,artist,date,streams,week
66,67,Фонтанчик с дельфином (Adam Maniac & Imanbek Remix),Гио Пика,31/08/2020,319K,24/08/20 - 30/08/20
67,68,Небесные розы,Jony,31/08/2020,319K,24/08/20 - 30/08/20
68,69,Не смогу (VERBEE & Kara Kross),VERBEE,31/08/2020,316K,24/08/20 - 30/08/20
69,70,Ты пари,Jony,31/08/2020,311K,24/08/20 - 30/08/20
70,71,Малыш (XZEEZ & Ablaikan Remix),JANAGA,31/08/2020,308K,24/08/20 - 30/08/20
71,72,Мало нам,Miyagi & Andy Panda,31/08/2020,303K,24/08/20 - 30/08/20
72,73,Поцелуй,Dabro,31/08/2020,303K,24/08/20 - 30/08/20
73,74,"Cadillac Club Remix (MORGENSHTERN, Элджей & Skazka Music)",MORGENSHTERN,31/08/2020,289K,24/08/20 - 30/08/20
74,75,Chto menya zhdyet,Зина Куприянович,31/08/2020,281K,24/08/20 - 30/08/20
75,76,МММ,EMIN,31/08/2020,280K,24/08/20 - 30/08/20
76,77,Black Guard,Нурминский,31/08/2020,279K,24/08/20 - 30/08/20
77,78,GOOBA,6ix9ine,31/08/2020,275K,24/08/20 - 30/08/20
78,79,Adelante,SASH!,31/08/2020,271K,24/08/20 - 30/08/20
79,80,Ураган (Гуф & Murovei) (feat. V $ X V PRiNCE),Гуф,31/08/2020,266K,24/08/20 - 30/08/20
80,81,Попытка номер 5,Мэвл,31/08/2020,266K,24/08/20 - 30/08/20
81,82,До скорой встречи,Звери,31/08/2020,264K,24/08/20 - 30/08/20
82,83,Intihask,Hafex & Rzza,31/08/2020,264K,24/08/20 - 30/08/20
83,84,Я буду очень тебя беречь,Стас Михайлов,31/08/2020,263K,24/08/20 - 30/08/20
84,85,Меня не будет (feat. Saluki),ANIKV,31/08/2020,260K,24/08/20 - 30/08/20
85,86,Вали,Канги,31/08/2020,256K,24/08/20 - 30/08/20
86,87,Капельки (Ида Галич & ХЛЕБ),Ида Галич,31/08/2020,253K,24/08/20 - 30/08/20
87,88,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey) (feat. Halsey),BTS,31/08/2020,253K,24/08/20 - 30/08/20
