,rank,title,artist,date,streams
44,45,Без ключа,PHARAOH,08/09/2020,"17,401"
45,46,ДЕВОЧКА С КАРЕ,MUKKA,08/09/2020,"17,159"
46,47,неболей,Basta,08/09/2020,"17,018"
47,48,Watermelon Sugar,Harry Styles,08/09/2020,"16,713"
48,49,Антигерой,Mnogoznaal,08/09/2020,"16,688"
49,50,MONEY LONG,kizaru,08/09/2020,"16,479"
50,51,Времена,Max Korzh,08/09/2020,"16,382"
51,52,Obey (with YUNGBLUD),Bring Me The Horizon,08/09/2020,"16,061"
52,53,Стресс,SALUKI,08/09/2020,"15,965"
53,54,Плачу на техно,Cream Soda,08/09/2020,"15,820"
54,55,Mood (feat. Iann Dior),24kGoldn,08/09/2020,"15,635"
55,56,Днями-ночами,Pyrokinesis,08/09/2020,"15,625"
56,57,Не Киряй,MUKKA,08/09/2020,"15,343"
57,58,Инкассатор,ROCKET,08/09/2020,"15,194"
58,59,Серпантин,ATL,08/09/2020,"15,127"
59,60,Всё в порядке,DK,08/09/2020,"15,084"
60,61,Серпантин,Markul,08/09/2020,"15,049"
61,62,Brooklyn,Miyagi & Andy Panda,08/09/2020,"14,808"
62,63,Цепи,Scriptonite,08/09/2020,"14,700"
63,64,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,08/09/2020,"14,619"
64,65,Мультибрендовый,Scriptonite,08/09/2020,"14,413"
65,66,Танцы,ssshhhiiittt!,08/09/2020,"14,353"
66,67,Привычка,Scriptonite,08/09/2020,"14,321"
67,68,Lovefool,twocolors,08/09/2020,"14,251"
68,69,Gimme The Loot,Big BaTape,08/09/2020,"14,103"
69,70,Ураган (feat. V $ X V PRiNCE),GUF,08/09/2020,"13,793"
70,71,THE BADDEST,K/DA,08/09/2020,"13,679"
71,72,Новый Мерин,MORGENSHTERN,08/09/2020,"13,629"
72,73,Falling,Trevor Daniel,08/09/2020,"13,552"
73,74,911,Eldzhey,08/09/2020,"13,537"
74,75,Midnight Sky,Miley Cyrus,08/09/2020,"13,528"
75,76,Breaking Me,Topic,08/09/2020,"13,319"
76,77,Шантаж,Max Korzh,08/09/2020,"13,134"
77,78,Покинула чат,Klava Koka,08/09/2020,"13,080"
78,79,Utopia,Miyagi & Andy Panda,08/09/2020,"13,051"
79,80,77,MACAN,08/09/2020,"13,014"
80,81,Кино,MACAN,08/09/2020,"13,002"
81,82,РАТАТАТАТА,MORGENSHTERN,08/09/2020,"12,976"
82,83,Дерзко,Truwer,08/09/2020,"12,962"
83,84,Надежда,FACE,08/09/2020,"12,874"
84,85,Гостиница Космос,Mnogoznaal,08/09/2020,"12,839"
85,86,Там ревели горы,Miyagi & Andy Panda,08/09/2020,"12,808"
86,87,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,08/09/2020,"12,717"
87,88,В последний раз,Tima Belorusskih,08/09/2020,"12,618"
88,89,Любимка,NILETTO,08/09/2020,"12,498"
89,90,Kings & Queens,Ava Max,08/09/2020,"12,486"
90,91,B.I.D,Markul,08/09/2020,"12,327"
91,92,Кукла колдуна,Korol i Shut,08/09/2020,"12,271"
92,93,Ананасовый сироп,Natan,08/09/2020,"12,260"
93,94,Roses - Imanbek Remix,SAINt JHN,08/09/2020,"12,215"
94,95,She Wants,ROCKET,08/09/2020,"12,186"
95,96,Lollipop,Gafur,08/09/2020,"12,070"
96,97,Laugh Now Cry Later (feat. Lil Durk),Drake,08/09/2020,"11,944"
97,98,Star Shopping,Lil Peep,08/09/2020,"11,938"
98,99,Танцуйте,ATL,08/09/2020,"11,900"
99,100,Бандана,Платина,08/09/2020,"11,892"
100,101,Рашан моуст уонтэд,kizaru,08/09/2020,"11,850"
101,102,POPSTAR (feat. Drake),DJ Khaled,08/09/2020,"11,832"
102,103,НЕ ЖАЛЬ,104,08/09/2020,"11,807"
103,104,Малый повзрослел,Max Korzh,08/09/2020,"11,735"
104,105,Между Нами,LIZER,08/09/2020,"11,594"
105,106,X2 - Prod. Gredy,Boulevard Depo,08/09/2020,"11,537"
106,107,Не по пути,PHARAOH,08/09/2020,"11,338"
107,108,Это любовь,Scriptonite,08/09/2020,"11,335"
108,109,Infinite Tsukuyomi,ROCKET,08/09/2020,"11,274"
109,110,Марабу,ATL,08/09/2020,"11,272"
110,111,Малолетка,Max Korzh,08/09/2020,"11,216"
111,112,Balenciaga,FILV,08/09/2020,"11,215"
112,113,HIGHEST IN THE ROOM,Travis Scott,08/09/2020,"11,208"
113,114,Таблетка,Dzharo & Khanza,08/09/2020,"11,130"
114,115,27,FEDUK,08/09/2020,"11,092"
115,116,ODIUM,LXST CXNTURY,08/09/2020,"11,037"
116,117,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,08/09/2020,"11,020"
117,118,Such a Whore (Stellular Remix),Jvla,08/09/2020,"10,961"
118,119,Минимум,Ямаджи,08/09/2020,"10,846"
119,120,Hokage,Big BaTape,08/09/2020,"10,833"
120,121,Нон стоп,Poshlaja Molli,08/09/2020,"10,823"
121,122,Евгений Онегин,kizaru,08/09/2020,"10,772"
122,123,Ты беспощадна,JONY,08/09/2020,"10,760"
123,124,Phantom,Markul,08/09/2020,"10,735"
124,125,Мишка (feat. KATERINA),Poshlaja Molli,08/09/2020,"10,710"
125,126,Мне пох,Klava Koka,08/09/2020,"10,678"
126,127,August,Intelligency,08/09/2020,"10,616"
127,128,Pullin Up,Soda,08/09/2020,"10,598"
128,129,Boom Boom,LOBODA,08/09/2020,"10,553"
129,130,10 негритят,LSP,08/09/2020,"10,523"
130,131,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,08/09/2020,"10,517"
131,132,Грустная Песня (feat. Егор Крид & MORGENSHTERN),THRILL PILL,08/09/2020,"10,396"
132,133,СПАСАТЕЛЬНЫЙ КРУГ,FACE,08/09/2020,"10,380"
133,134,Air Force 1,lil krystalll,08/09/2020,"10,333"
134,135,Surname (Prod. DJ Tape & Aarne),Big BaTape,08/09/2020,"10,327"
135,136,Toosie Slide,Drake,08/09/2020,"10,322"
136,137,SICKO MODE,Travis Scott,08/09/2020,"10,311"
137,138,Fly 2,Zivert,08/09/2020,"10,265"
138,139,Где нас нет,Oxxxymiron,08/09/2020,"10,253"
139,140,Пачка сигарет,LIZER,08/09/2020,"10,215"
140,141,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,08/09/2020,"10,204"
141,142,СМУЗИ,The Limba,08/09/2020,"10,198"
142,143,Лютики,просто Лера,08/09/2020,"10,180"
143,144,МАЛЬЧИК,ФОГЕЛЬ,08/09/2020,"10,169"
144,145,Smile (with The Weeknd),Juice WRLD,08/09/2020,"10,168"
145,146,THE SCOTTS,THE SCOTTS,08/09/2020,"9,991"
146,147,Девочка танцуй,Artik & Asti,08/09/2020,"9,974"
147,148,Say No Mo,kizaru,08/09/2020,"9,942"
148,149,KONSTRUKT,PORCHY,08/09/2020,"9,922"
149,150,ЯТЛ,Zivert,08/09/2020,"9,893"
150,151,что для тебя красота,maslo chernogo tmina,08/09/2020,"9,884"
151,152,Малиновый закат,Max Korzh,08/09/2020,"9,878"
152,153,Perfect World,ROCKET,08/09/2020,"9,765"
153,154,Тёмно-оранжевый закат,Папин Олимпос,08/09/2020,"9,723"
154,155,goosebumps,Travis Scott,08/09/2020,"9,703"
155,156,Fata Morgana,Markul,08/09/2020,"9,690"
156,157,Комета,JONY,08/09/2020,"9,677"
157,158,В Потолок (feat. Boulevard Depo),KURT92,08/09/2020,"9,669"
158,159,Не пускайте танцевать,Timran,08/09/2020,"9,658"
159,160,Девочка в классе,Dzhizus,08/09/2020,"9,588"
160,161,3x3,Gruppa Skryptonite,08/09/2020,"9,573"
161,162,"Бэнтли, Бенз и Бумер",Платина,08/09/2020,"9,555"
162,163,Лето на ветер,GUF,08/09/2020,"9,554"
163,164,Горы по колено,Max Korzh,08/09/2020,"9,492"
164,165,ON,BTS,08/09/2020,"9,470"
165,166,Было или нет?,ANIKV,08/09/2020,"9,462"
166,167,Break My Heart,Dua Lipa,08/09/2020,"9,460"
167,168,ВКУС ЯДА (feat. IROH),GONE.Fludd,08/09/2020,"9,449"
168,169,Ламбада,T-Fest,08/09/2020,"9,439"
169,170,Россия для грустных,Pornofilmy,08/09/2020,"9,379"
170,171,Полковнику никто не пишет,Bi-2,08/09/2020,"9,370"
171,172,Иуда,Husky,08/09/2020,"9,327"
172,173,Money long,kizaru,08/09/2020,"9,324"
173,174,Ау,10AGE,08/09/2020,"9,211"
174,175,"The Plan - From the Motion Picture ""TENET""",Travis Scott,08/09/2020,"9,210"
175,176,Мадам,JONY,08/09/2020,"9,197"
176,177,Девочка с картинки,Egor Kreed,08/09/2020,"9,166"
177,178,Я так соскучился,Pornofilmy,08/09/2020,"9,124"
178,179,Daechwita,Agust D,08/09/2020,"9,124"
179,180,А если это любовь?,HammAli & Navai,08/09/2020,"9,122"
180,181,GOOBA,6ix9ine,08/09/2020,"9,115"
181,182,I Got Love,MiyaGi & Endspiel,08/09/2020,"9,092"
182,183,Краски,FEDUK,08/09/2020,"9,083"
183,184,Веселей,Scriptonite,08/09/2020,"9,076"
184,185,OMG What's Happening,Ava Max,08/09/2020,"9,070"
185,186,Худший друг,Markul,08/09/2020,"9,061"
186,187,Каждый день,lil krystalll,08/09/2020,"9,026"
187,188,Come & Go (with Marshmello),Juice WRLD,08/09/2020,"9,011"
188,189,Остров,МЫ,08/09/2020,"9,010"
189,190,Yung Hefner,MORGENSHTERN,08/09/2020,"8,972"
190,191,Прыгну со скалы,Korol i Shut,08/09/2020,"8,945"
191,192,Лига легенд,Noize MC,08/09/2020,"8,892"
192,193,Животные,Scriptonite,08/09/2020,"8,889"
193,194,Французский поцелуй,Misha Marvin,08/09/2020,"8,873"
194,195,Больше бед,Markul,08/09/2020,"8,827"
195,196,Монетка,LSP,08/09/2020,"8,824"
196,197,Blueberry Faygo,Lil Mosey,08/09/2020,"8,779"
197,198,God’s Menu,Stray Kids,08/09/2020,"8,772"
198,199,Младшая сестра,дора,08/09/2020,"8,760"
199,200,Хочу перемен,Kino,08/09/2020,"8,746"
