,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
63,64,Пряталась в ванной,Мари Краймбрери,01/09/20 - 07/09/20,89.35700000000001,,,,
64,65,BALENCIAGA,FILV,01/09/20 - 07/09/20,89.786,,,,
65,66,По кайфу,Олег Кензов,01/09/20 - 07/09/20,90.714,,,,
66,67,Психушка,Karna.val,01/09/20 - 07/09/20,91.143,,,,
67,68,3-е сентября,Михаил Шуфутинский,01/09/20 - 07/09/20,91.286,,,,
68,69,Спой,Миша Марвин feat. Мот,01/09/20 - 07/09/20,91.357,,,,
69,70,В последний раз,Тима Белорусских,01/09/20 - 07/09/20,91.786,,,,
70,71,Положение,"Dior, Samo & ID",01/09/20 - 07/09/20,91.929,,,,
71,72,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",01/09/20 - 07/09/20,92.071,,,,
72,73,#ПеретанцуйМеня,Артур Пирожков,01/09/20 - 07/09/20,92.5,,,,
73,74,Dance Monkey,Tones And I,01/09/20 - 07/09/20,94.429,,,,
74,75,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",01/09/20 - 07/09/20,95.5,,,,
75,76,Ураган,"GUF, Murovei, V $ X V PRiNCE",01/09/20 - 07/09/20,96.286,,,,
76,77,Kosandra,Miyagi & Andy Panda,01/09/20 - 07/09/20,98.071,,,,
77,78,Перемен,КИНО,01/09/20 - 07/09/20,98.571,,,,
78,79,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",01/09/20 - 07/09/20,99.071,,,,
79,80,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",01/09/20 - 07/09/20,100.0,,,,
80,81,Времена,Макс Корж,01/09/20 - 07/09/20,100.357,,,,
81,82,Золото,Супер Жорик,01/09/20 - 07/09/20,100.571,,,,
82,83,Кометы,polnalyubvi,01/09/20 - 07/09/20,102.071,,,,
83,84,Numb,Linkin Park,01/09/20 - 07/09/20,103.0,,,,
84,85,Позови меня с собой (Cover),TSOY,01/09/20 - 07/09/20,103.714,,,,
85,86,Девочка-война,HammAli & Navai,01/09/20 - 07/09/20,103.714,,,,
86,87,Прыгну со скалы,Король и Шут,01/09/20 - 07/09/20,104.286,,,,
87,88,Под гипнозом,Artik & Asti,01/09/20 - 07/09/20,104.357,,,,
88,89,Зачем топтать мою любовь,"DJ Nejtrino, ELIA",01/09/20 - 07/09/20,106.786,,,,
89,90,Чувства,Artik & Asti,01/09/20 - 07/09/20,107.286,,,,
90,91,ily,"Surf Mesa, Emilee",01/09/20 - 07/09/20,107.357,,,,
91,92,Лесник,Король и Шут,01/09/20 - 07/09/20,108.357,,,,
92,93,Лето на ветер,"GUF, Кравц",01/09/20 - 07/09/20,109.0,,,,
93,94,Give It Away,"Filatov & Karas, Deepest Blue",01/09/20 - 07/09/20,111.429,,,,
94,95,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,114.286,,,,
95,96,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",01/09/20 - 07/09/20,115.357,,,,
96,97,2 типа людей,Макс Корж,01/09/20 - 07/09/20,116.5,,,,
97,98,ERRDAY,Big Baby Tape,01/09/20 - 07/09/20,120.0,,,,
98,99,Меня не будет,"ANIKV, SALUKI",01/09/20 - 07/09/20,120.786,,,,
99,100,Небесные розы,JONY,01/09/20 - 07/09/20,121.143,,,,
100,101,Камин,"EMIN, JONY",01/09/20 - 07/09/20,121.929,,,,
101,102,БАУНТИ,"Зомб, Gidayyat, Gazan",01/09/20 - 07/09/20,125.714,,,,
102,103,Brother Louie,"Vize, Imanbek, Dieter Bohlen, Leony",01/09/20 - 07/09/20,126.571,,,,
