,rank,title,artist,date,streams,week,delta_rank,weeks_in_chart,best_pos,delta_streams,full_id
50,51,Без ключа,PHARAOH,09/09/2020,115368,02/09/20 - 08/09/20,-1,2,50.0,3544,Без ключа#bh#_#bh#PHARAOH
51,52,A A A,ROCKET,09/09/2020,112573,02/09/20 - 08/09/20,,1,52.0,,A A A#bh#_#bh#ROCKET
52,53,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,09/09/2020,111186,02/09/20 - 08/09/20,-1,2,52.0,3087,ЮМОРИСТ - Original Motion Picture Soundtrack#bh#_#bh#FACE
53,54,Brooklyn,Miyagi & Andy Panda,09/09/2020,110411,02/09/20 - 08/09/20,2,2,54.0,4777,Brooklyn#bh#_#bh#Miyagi & Andy Panda
54,55,БЕГИ feat. Poët,DJ Smash,09/09/2020,107854,02/09/20 - 08/09/20,33,2,55.0,19102,БЕГИ feat. Poët#bh#_#bh#DJ Smash
55,56,Не Киряй,MUKKA,09/09/2020,107737,02/09/20 - 08/09/20,-1,2,55.0,1494,Не Киряй#bh#_#bh#MUKKA
56,57,Стресс,SALUKI,09/09/2020,106926,02/09/20 - 08/09/20,4,2,57.0,4973,Стресс#bh#_#bh#SALUKI
57,58,неболей,Basta,09/09/2020,105269,02/09/20 - 08/09/20,8,2,58.0,6532,неболей#bh#_#bh#Basta
58,59,Днями-ночами,Pyrokinesis,09/09/2020,104317,02/09/20 - 08/09/20,-1,2,58.0,93924,Днями-ночами#bh#_#bh#Pyrokinesis
59,60,911,Eldzhey,09/09/2020,103550,02/09/20 - 08/09/20,-13,2,47.0,-11187,911#bh#_#bh#Eldzhey
60,61,Инкассатор,ROCKET,09/09/2020,103353,02/09/20 - 08/09/20,17,2,61.0,11186,Инкассатор#bh#_#bh#ROCKET
61,62,Серпантин,Markul,09/09/2020,103117,02/09/20 - 08/09/20,3,2,62.0,3839,Серпантин#bh#_#bh#Markul
62,63,Цепи,Scriptonite,09/09/2020,103110,02/09/20 - 08/09/20,-4,2,59.0,92773,Цепи#bh#_#bh#Scriptonite
63,64,Midnight Sky,Miley Cyrus,09/09/2020,102585,02/09/20 - 08/09/20,-11,2,53.0,-4749,Midnight Sky#bh#_#bh#Miley Cyrus
64,65,Серпантин,ATL,09/09/2020,102284,02/09/20 - 08/09/20,-3,2,62.0,1546,Серпантин#bh#_#bh#ATL
65,66,РАТАТАТАТА,MORGENSHTERN,09/09/2020,98349,02/09/20 - 08/09/20,1,2,66.0,-196,РАТАТАТАТА#bh#_#bh#MORGENSHTERN
66,67,Новый Мерин,MORGENSHTERN,09/09/2020,97239,02/09/20 - 08/09/20,3,2,67.0,87512,Новый Мерин#bh#_#bh#MORGENSHTERN
67,68,Шантаж,Max Korzh,09/09/2020,96518,02/09/20 - 08/09/20,-8,2,60.0,-5453,Шантаж#bh#_#bh#Max Korzh
68,69,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,09/09/2020,96055,02/09/20 - 08/09/20,16,2,69.0,6474,Увезите меня на Дип-хаус#bh#_#bh#GAYAZOV$ BROTHER$
69,70,Lifestyle,ROCKET,09/09/2020,95940,02/09/20 - 08/09/20,,1,70.0,,Lifestyle#bh#_#bh#ROCKET
70,71,Привычка,Scriptonite,09/09/2020,95591,02/09/20 - 08/09/20,4,2,71.0,988,Привычка#bh#_#bh#Scriptonite
71,72,Покинула чат,Klava Koka,09/09/2020,95533,02/09/20 - 08/09/20,-1,2,71.0,85861,Покинула чат#bh#_#bh#Klava Koka
72,73,Laugh Now Cry Later (feat. Lil Durk),Drake,09/09/2020,95524,02/09/20 - 08/09/20,-22,2,51.0,94420,Laugh Now Cry Later (feat. Lil Durk)#bh#_#bh#Drake
73,74,Breaking Me,Topic,09/09/2020,95041,02/09/20 - 08/09/20,-6,2,68.0,-3080,Breaking Me#bh#_#bh#Topic
74,75,Lovefool,twocolors,09/09/2020,94772,02/09/20 - 08/09/20,-18,2,57.0,-10449,Lovefool#bh#_#bh#twocolors
75,76,Мультибрендовый,Scriptonite,09/09/2020,94630,02/09/20 - 08/09/20,-3,2,73.0,-578,Мультибрендовый#bh#_#bh#Scriptonite
76,77,Любимка,NILETTO,09/09/2020,93224,02/09/20 - 08/09/20,5,2,77.0,3322,Любимка#bh#_#bh#NILETTO
77,78,Было или нет?,ANIKV,09/09/2020,93203,02/09/20 - 08/09/20,,1,78.0,,Было или нет?#bh#_#bh#ANIKV
78,79,Там ревели горы,Miyagi & Andy Panda,09/09/2020,92991,02/09/20 - 08/09/20,-5,2,74.0,-1838,Там ревели горы#bh#_#bh#Miyagi & Andy Panda
79,80,Utopia,Miyagi & Andy Panda,09/09/2020,92929,02/09/20 - 08/09/20,-8,2,72.0,-2312,Utopia#bh#_#bh#Miyagi & Andy Panda
80,81,Gimme The Loot,Big BaTape,09/09/2020,92740,02/09/20 - 08/09/20,-1,2,80.0,1412,Gimme The Loot#bh#_#bh#Big BaTape
81,82,Falling,Trevor Daniel,09/09/2020,92109,02/09/20 - 08/09/20,-13,2,69.0,-5217,Falling#bh#_#bh#Trevor Daniel
82,83,Танцы,ssshhhiiittt!,09/09/2020,91699,02/09/20 - 08/09/20,10,2,83.0,4962,Танцы#bh#_#bh#ssshhhiiittt!
83,84,Roses - Imanbek Remix,SAINt JHN,09/09/2020,90985,02/09/20 - 08/09/20,-20,2,64.0,-8413,Roses - Imanbek Remix#bh#_#bh#SAINt JHN
84,85,Кино,MACAN,09/09/2020,90014,02/09/20 - 08/09/20,1,2,85.0,950,Кино#bh#_#bh#MACAN
85,86,Гостиница Космос,Mnogoznaal,09/09/2020,89663,02/09/20 - 08/09/20,1,2,86.0,866,Гостиница Космос#bh#_#bh#Mnogoznaal
86,87,Малый повзрослел,Max Korzh,09/09/2020,89472,02/09/20 - 08/09/20,-4,2,83.0,-225,Малый повзрослел#bh#_#bh#Max Korzh
87,88,Lollipop,Gafur,09/09/2020,89383,02/09/20 - 08/09/20,13,2,88.0,5309,Lollipop#bh#_#bh#Gafur
88,89,"Left, Right",ROCKET,09/09/2020,88883,02/09/20 - 08/09/20,,1,89.0,,"Left, Right#bh#_#bh#ROCKET"
89,90,Ананасовый сироп,Natan,09/09/2020,88731,02/09/20 - 08/09/20,1,2,90.0,80006,Ананасовый сироп#bh#_#bh#Natan
90,91,Smile (with The Weeknd),Juice WRLD,09/09/2020,88521,02/09/20 - 08/09/20,-37,2,54.0,-18004,Smile (with The Weeknd)#bh#_#bh#Juice WRLD
91,92,Kings & Queens,Ava Max,09/09/2020,86741,02/09/20 - 08/09/20,-8,2,84.0,-2916,Kings & Queens#bh#_#bh#Ava Max
92,93,Ураган (feat. V $ X V PRiNCE),GUF,09/09/2020,86587,02/09/20 - 08/09/20,6,2,93.0,2115,Ураган (feat. V $ X V PRiNCE)#bh#_#bh#GUF
93,94,Надежда,FACE,09/09/2020,85941,02/09/20 - 08/09/20,2,2,94.0,-247,Надежда#bh#_#bh#FACE
94,95,77,MACAN,09/09/2020,84520,02/09/20 - 08/09/20,10,2,95.0,3935,77#bh#_#bh#MACAN
95,96,Между Нами,LIZER,09/09/2020,83198,02/09/20 - 08/09/20,-2,2,94.0,-3449,Между Нами#bh#_#bh#LIZER
96,97,HIGHEST IN THE ROOM,Travis Scott,09/09/2020,83164,02/09/20 - 08/09/20,5,2,97.0,-559,HIGHEST IN THE ROOM#bh#_#bh#Travis Scott
97,98,Бандана,Платина,09/09/2020,82857,02/09/20 - 08/09/20,8,2,98.0,2518,Бандана#bh#_#bh#Платина
98,99,Грустная Песня (feat. Егор Крид & MORGENSHTERN),THRILL PILL,09/09/2020,82420,02/09/20 - 08/09/20,-1,2,98.0,-2211,Грустная Песня (feat. Егор Крид & MORGENSHTERN)#bh#_#bh#THRILL PILL
99,100,Танцуйте,ATL,09/09/2020,82341,02/09/20 - 08/09/20,-3,2,97.0,-2322,Танцуйте#bh#_#bh#ATL
100,101,Toosie Slide,Drake,09/09/2020,82023,02/09/20 - 08/09/20,-24,2,77.0,-11011,Toosie Slide#bh#_#bh#Drake
101,102,Малолетка,Max Korzh,09/09/2020,81813,02/09/20 - 08/09/20,1,2,102.0,-1666,Малолетка#bh#_#bh#Max Korzh
102,103,August,Intelligency,09/09/2020,81654,02/09/20 - 08/09/20,-13,2,90.0,-6239,August#bh#_#bh#Intelligency
103,104,Кукла колдуна,Korol i Shut,09/09/2020,81335,02/09/20 - 08/09/20,21,2,104.0,5826,Кукла колдуна#bh#_#bh#Korol i Shut
104,105,27,FEDUK,09/09/2020,81262,02/09/20 - 08/09/20,8,2,105.0,2410,27#bh#_#bh#FEDUK
105,106,B.I.D,Markul,09/09/2020,80162,02/09/20 - 08/09/20,3,2,106.0,643,B.I.D#bh#_#bh#Markul
106,107,Рашан моуст уонтэд,kizaru,09/09/2020,79599,02/09/20 - 08/09/20,5,2,107.0,540,Рашан моуст уонтэд#bh#_#bh#kizaru
107,108,Over Now (with The Weeknd),Calvin Harris,09/09/2020,79129,02/09/20 - 08/09/20,,1,108.0,,Over Now (with The Weeknd)#bh#_#bh#Calvin Harris
108,109,Star Shopping,Lil Peep,09/09/2020,78878,02/09/20 - 08/09/20,9,2,109.0,794,Star Shopping#bh#_#bh#Lil Peep
109,110,Infinite Tsukuyomi,ROCKET,09/09/2020,78778,02/09/20 - 08/09/20,54,2,110.0,12081,Infinite Tsukuyomi#bh#_#bh#ROCKET
110,111,Fly 2,Zivert,09/09/2020,78769,02/09/20 - 08/09/20,-4,2,107.0,-1457,Fly 2#bh#_#bh#Zivert
111,112,Balenciaga,FILV,09/09/2020,77445,02/09/20 - 08/09/20,36,2,112.0,6878,Balenciaga#bh#_#bh#FILV
112,113,Марабу,ATL,09/09/2020,77350,02/09/20 - 08/09/20,9,2,113.0,843,Марабу#bh#_#bh#ATL
113,114,НЕ ЖАЛЬ,104,09/09/2020,77281,02/09/20 - 08/09/20,6,2,114.0,340,НЕ ЖАЛЬ#bh#_#bh#104
114,115,Мне пох,Klava Koka,09/09/2020,76923,02/09/20 - 08/09/20,8,2,115.0,1021,Мне пох#bh#_#bh#Klava Koka
115,116,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,09/09/2020,76706,02/09/20 - 08/09/20,-2,2,114.0,-2086,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix#bh#_#bh#Jack Harlow"
116,117,Boom Boom,LOBODA,09/09/2020,76221,02/09/20 - 08/09/20,20,2,117.0,3199,Boom Boom#bh#_#bh#LOBODA
117,118,Нон стоп,Poshlaja Molli,09/09/2020,75982,02/09/20 - 08/09/20,-8,2,110.0,-3396,Нон стоп#bh#_#bh#Poshlaja Molli
118,119,ON,BTS,09/09/2020,75937,02/09/20 - 08/09/20,-90,2,29.0,62139,ON#bh#_#bh#BTS
119,120,SICKO MODE,Travis Scott,09/09/2020,75874,02/09/20 - 08/09/20,-4,2,116.0,-2571,SICKO MODE#bh#_#bh#Travis Scott
120,121,Это любовь,Scriptonite,09/09/2020,75811,02/09/20 - 08/09/20,-6,2,115.0,-2787,Это любовь#bh#_#bh#Scriptonite
121,122,Ты беспощадна,JONY,09/09/2020,75786,02/09/20 - 08/09/20,-27,2,95.0,-10757,Ты беспощадна#bh#_#bh#JONY
122,123,THE SCOTTS,THE SCOTTS,09/09/2020,75231,02/09/20 - 08/09/20,-15,2,108.0,-4570,THE SCOTTS#bh#_#bh#THE SCOTTS
123,124,ODIUM,LXST CXNTURY,09/09/2020,74805,02/09/20 - 08/09/20,39,2,124.0,7998,ODIUM#bh#_#bh#LXST CXNTURY
124,125,X2 - Prod. Gredy,Boulevard Depo,09/09/2020,74630,02/09/20 - 08/09/20,1,2,125.0,73877,X2 - Prod. Gredy#bh#_#bh#Boulevard Depo
125,126,Such a Whore (Stellular Remix),Jvla,09/09/2020,74166,02/09/20 - 08/09/20,-9,2,117.0,-3935,Such a Whore (Stellular Remix)#bh#_#bh#Jvla
126,127,Phantom,Markul,09/09/2020,73992,02/09/20 - 08/09/20,14,2,127.0,2208,Phantom#bh#_#bh#Markul
127,128,Не по пути,PHARAOH,09/09/2020,73093,02/09/20 - 08/09/20,-9,2,119.0,65295,Не по пути#bh#_#bh#PHARAOH
128,129,Пачка сигарет,LIZER,09/09/2020,73046,02/09/20 - 08/09/20,0,2,129.0,-1430,Пачка сигарет#bh#_#bh#LIZER
129,130,Мишка (feat. KATERINA),Poshlaja Molli,09/09/2020,72986,02/09/20 - 08/09/20,-9,2,121.0,-3671,Мишка (feat. KATERINA)#bh#_#bh#Poshlaja Molli
130,131,EMPIRE,WENGIE,09/09/2020,72013,02/09/20 - 08/09/20,29,2,131.0,4334,EMPIRE#bh#_#bh#WENGIE
131,132,СМУЗИ,The Limba,09/09/2020,71802,02/09/20 - 08/09/20,2,2,132.0,-1762,СМУЗИ#bh#_#bh#The Limba
132,133,Малиновый закат,Max Korzh,09/09/2020,71632,02/09/20 - 08/09/20,-6,2,127.0,-3315,Малиновый закат#bh#_#bh#Max Korzh
133,134,goosebumps,Travis Scott,09/09/2020,71458,02/09/20 - 08/09/20,1,2,134.0,-1924,goosebumps#bh#_#bh#Travis Scott
134,135,СПАСАТЕЛЬНЫЙ КРУГ,FACE,09/09/2020,71411,02/09/20 - 08/09/20,-4,2,131.0,-2673,СПАСАТЕЛЬНЫЙ КРУГ#bh#_#bh#FACE
135,136,Таблетка,Dzharo & Khanza,09/09/2020,71148,02/09/20 - 08/09/20,2,2,136.0,-1285,Таблетка#bh#_#bh#Dzharo & Khanza
136,137,Daechwita,Agust D,09/09/2020,70790,02/09/20 - 08/09/20,-58,2,79.0,-21369,Daechwita#bh#_#bh#Agust D
137,138,Air Force 1,lil krystalll,09/09/2020,70637,02/09/20 - 08/09/20,5,2,138.0,-944,Air Force 1#bh#_#bh#lil krystalll
138,139,Полковнику никто не пишет,Bi-2,09/09/2020,70564,02/09/20 - 08/09/20,26,2,139.0,4102,Полковнику никто не пишет#bh#_#bh#Bi-2
139,140,Горы по колено,Max Korzh,09/09/2020,70211,02/09/20 - 08/09/20,0,2,140.0,-1660,Горы по колено#bh#_#bh#Max Korzh
140,141,Yung Hefner,MORGENSHTERN,09/09/2020,69898,02/09/20 - 08/09/20,14,2,141.0,576,Yung Hefner#bh#_#bh#MORGENSHTERN
141,142,ВКУС ЯДА (feat. IROH),GONE.Fludd,09/09/2020,69845,02/09/20 - 08/09/20,-10,2,132.0,-4153,ВКУС ЯДА (feat. IROH)#bh#_#bh#GONE.Fludd
142,143,Hokage,Big BaTape,09/09/2020,69796,02/09/20 - 08/09/20,-4,2,139.0,-2292,Hokage#bh#_#bh#Big BaTape
143,144,Где нас нет,Oxxxymiron,09/09/2020,69633,02/09/20 - 08/09/20,12,2,144.0,509,Где нас нет#bh#_#bh#Oxxxymiron
144,145,что для тебя красота,maslo chernogo tmina,09/09/2020,69630,02/09/20 - 08/09/20,14,2,145.0,1737,что для тебя красота#bh#_#bh#maslo chernogo tmina
145,146,Mood (feat. Iann Dior),24kGoldn,09/09/2020,69619,02/09/20 - 08/09/20,,1,146.0,,Mood (feat. Iann Dior)#bh#_#bh#24kGoldn
146,147,Ламбада,T-Fest,09/09/2020,69015,02/09/20 - 08/09/20,-3,2,144.0,-1999,Ламбада#bh#_#bh#T-Fest
147,148,Евгений Онегин,kizaru,09/09/2020,68971,02/09/20 - 08/09/20,9,2,148.0,193,Евгений Онегин#bh#_#bh#kizaru
148,149,XXX,Yanix,09/09/2020,68676,02/09/20 - 08/09/20,-86,2,63.0,-31546,XXX#bh#_#bh#Yanix
149,150,Boy With Luv (feat. Halsey),BTS,09/09/2020,68673,02/09/20 - 08/09/20,-101,2,49.0,-43286,Boy With Luv (feat. Halsey)#bh#_#bh#BTS
150,151,ЯТЛ,Zivert,09/09/2020,68566,02/09/20 - 08/09/20,-2,2,149.0,-1979,ЯТЛ#bh#_#bh#Zivert
151,152,Fata Morgana,Markul,09/09/2020,68296,02/09/20 - 08/09/20,21,2,152.0,2992,Fata Morgana#bh#_#bh#Markul
152,153,Ахегао,MAYBE BABY,09/09/2020,68007,02/09/20 - 08/09/20,-23,2,130.0,-6139,Ахегао#bh#_#bh#MAYBE BABY
153,154,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,09/09/2020,67744,02/09/20 - 08/09/20,,1,154.0,,"Lemonade (feat. Gunna, Don Toliver & NAV)#bh#_#bh#Internet Money"
154,155,Surname (Prod. DJ Tape & Aarne),Big BaTape,09/09/2020,67289,02/09/20 - 08/09/20,-13,2,142.0,-4376,Surname (Prod. DJ Tape & Aarne)#bh#_#bh#Big BaTape
155,156,Not Shy,ITZY,09/09/2020,67256,02/09/20 - 08/09/20,-52,2,104.0,-14249,Not Shy#bh#_#bh#ITZY
156,157,Drive Home,ROCKET,09/09/2020,67016,02/09/20 - 08/09/20,,1,157.0,,Drive Home#bh#_#bh#ROCKET
157,158,EMPIRE - English Version,WENGIE,09/09/2020,66513,02/09/20 - 08/09/20,9,2,158.0,340,EMPIRE - English Version#bh#_#bh#WENGIE
158,159,3x3,Gruppa Skryptonite,09/09/2020,66443,02/09/20 - 08/09/20,16,2,159.0,1876,3x3#bh#_#bh#Gruppa Skryptonite
159,160,Come & Go (with Marshmello),Juice WRLD,09/09/2020,66359,02/09/20 - 08/09/20,-32,2,128.0,-8407,Come & Go (with Marshmello)#bh#_#bh#Juice WRLD
160,161,Комета,JONY,09/09/2020,66337,02/09/20 - 08/09/20,0,2,161.0,-1154,Комета#bh#_#bh#JONY
161,162,EMPIRE - Instrumental,WENGIE,09/09/2020,66291,02/09/20 - 08/09/20,10,2,162.0,613,EMPIRE - Instrumental#bh#_#bh#WENGIE
162,163,The Box,Roddy Ricch,09/09/2020,66197,02/09/20 - 08/09/20,-9,2,154.0,-3357,The Box#bh#_#bh#Roddy Ricch
163,164,EMPIRE - Korean Version,WENGIE,09/09/2020,66133,02/09/20 - 08/09/20,7,2,164.0,378,EMPIRE - Korean Version#bh#_#bh#WENGIE
164,165,"Бэнтли, Бенз и Бумер",Платина,09/09/2020,65859,02/09/20 - 08/09/20,1,2,165.0,-578,"Бэнтли, Бенз и Бумер#bh#_#bh#Платина"
165,166,Девочка танцуй,Artik & Asti,09/09/2020,65825,02/09/20 - 08/09/20,27,2,166.0,4402,Девочка танцуй#bh#_#bh#Artik & Asti
166,167,МАЛЬЧИК,ФОГЕЛЬ,09/09/2020,65547,02/09/20 - 08/09/20,,1,167.0,,МАЛЬЧИК#bh#_#bh#ФОГЕЛЬ
167,168,Black Swan,BTS,09/09/2020,65444,02/09/20 - 08/09/20,-127,2,41.0,-55467,Black Swan#bh#_#bh#BTS
168,169,Blueberry Faygo,Lil Mosey,09/09/2020,65438,02/09/20 - 08/09/20,-24,2,145.0,-5496,Blueberry Faygo#bh#_#bh#Lil Mosey
169,170,I Got Love,MiyaGi & Endspiel,09/09/2020,65286,02/09/20 - 08/09/20,7,2,170.0,1048,I Got Love#bh#_#bh#MiyaGi & Endspiel
170,171,Монетка,LSP,09/09/2020,65286,02/09/20 - 08/09/20,-24,2,147.0,-5477,Монетка#bh#_#bh#LSP
171,172,KONSTRUKT,PORCHY,09/09/2020,65268,02/09/20 - 08/09/20,-2,2,170.0,-779,KONSTRUKT#bh#_#bh#PORCHY
172,173,А если это любовь?,HammAli & Navai,09/09/2020,65161,02/09/20 - 08/09/20,1,2,173.0,-21,А если это любовь?#bh#_#bh#HammAli & Navai
173,174,Break My Heart,Dua Lipa,09/09/2020,65069,02/09/20 - 08/09/20,-23,2,151.0,-4726,Break My Heart#bh#_#bh#Dua Lipa
174,175,Savage Love (Laxed - Siren Beat),Jawsh 685,09/09/2020,64804,02/09/20 - 08/09/20,-29,2,146.0,-6021,Savage Love (Laxed - Siren Beat)#bh#_#bh#Jawsh 685
175,176,МОЙ КАЛАШНИКОВ,FACE,09/09/2020,64658,02/09/20 - 08/09/20,-40,2,136.0,-8707,МОЙ КАЛАШНИКОВ#bh#_#bh#FACE
176,177,God’s Menu,Stray Kids,09/09/2020,64529,02/09/20 - 08/09/20,5,2,177.0,1370,God’s Menu#bh#_#bh#Stray Kids
177,178,NBA (Не мешай),RSAC,09/09/2020,64481,02/09/20 - 08/09/20,-54,2,124.0,-11053,NBA (Не мешай)#bh#_#bh#RSAC
178,179,Животные,Scriptonite,09/09/2020,64467,02/09/20 - 08/09/20,1,2,179.0,1059,Животные#bh#_#bh#Scriptonite
179,180,Двигаться,Raim,09/09/2020,64314,02/09/20 - 08/09/20,12,2,180.0,2873,Двигаться#bh#_#bh#Raim
180,181,На своём вайбе (feat. Гуф),Jah Khalib,09/09/2020,64062,02/09/20 - 08/09/20,-2,2,179.0,237,На своём вайбе (feat. Гуф)#bh#_#bh#Jah Khalib
181,182,ВЕСНУШКИ,Tima Belorusskih,09/09/2020,63360,02/09/20 - 08/09/20,-4,2,178.0,-704,ВЕСНУШКИ#bh#_#bh#Tima Belorusskih
182,183,Девочка в классе,Dzhizus,09/09/2020,63153,02/09/20 - 08/09/20,-25,2,158.0,-4801,Девочка в классе#bh#_#bh#Dzhizus
183,184,Россия для грустных,Pornofilmy,09/09/2020,63132,02/09/20 - 08/09/20,4,2,184.0,1067,Россия для грустных#bh#_#bh#Pornofilmy
184,185,Худший друг,Markul,09/09/2020,62829,02/09/20 - 08/09/20,-17,2,168.0,-3239,Худший друг#bh#_#bh#Markul
185,186,Мы открываем бизнес (Skit),SHOOVAL,09/09/2020,62527,02/09/20 - 08/09/20,11,2,186.0,1655,Мы открываем бизнес (Skit)#bh#_#bh#SHOOVAL
186,187,Диибо,OG Buda,09/09/2020,62429,02/09/20 - 08/09/20,-37,2,150.0,-7739,Диибо#bh#_#bh#OG Buda
187,188,Остров,МЫ,09/09/2020,62224,02/09/20 - 08/09/20,8,2,188.0,1153,Остров#bh#_#bh#МЫ
188,189,Ау,10AGE,09/09/2020,62045,02/09/20 - 08/09/20,,1,189.0,,Ау#bh#_#bh#10AGE
189,190,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,09/09/2020,61942,02/09/20 - 08/09/20,,1,190.0,,For The Night (feat. Lil Baby & DaBaby)#bh#_#bh#Pop Smoke
190,191,Французский поцелуй,Misha Marvin,09/09/2020,61838,02/09/20 - 08/09/20,-8,2,183.0,-1231,Французский поцелуй#bh#_#bh#Misha Marvin
191,192,Девочка с картинки,Egor Kreed,09/09/2020,61745,02/09/20 - 08/09/20,,1,192.0,,Девочка с картинки#bh#_#bh#Egor Kreed
192,193,2 минуты,Markul,09/09/2020,61708,02/09/20 - 08/09/20,-41,2,152.0,-8009,2 минуты#bh#_#bh#Markul
193,194,Say No Mo,kizaru,09/09/2020,61577,02/09/20 - 08/09/20,5,2,194.0,983,Say No Mo#bh#_#bh#kizaru
194,195,Хочу перемен,Kino,09/09/2020,61495,02/09/20 - 08/09/20,-6,2,189.0,-501,Хочу перемен#bh#_#bh#Kino
195,196,Money long,kizaru,09/09/2020,61401,02/09/20 - 08/09/20,-43,2,153.0,54439,Money long#bh#_#bh#kizaru
196,197,Веселей,Scriptonite,09/09/2020,61226,02/09/20 - 08/09/20,-2,2,195.0,132,Веселей#bh#_#bh#Scriptonite
197,198,Разнесем,Max Korzh,09/09/2020,61084,02/09/20 - 08/09/20,-17,2,181.0,-2143,Разнесем#bh#_#bh#Max Korzh
198,199,THREESHA (feat. FEDUK),Telly Grave,09/09/2020,61021,02/09/20 - 08/09/20,,1,199.0,,THREESHA (feat. FEDUK)#bh#_#bh#Telly Grave
199,200,Ты пари,JONY,09/09/2020,60954,02/09/20 - 08/09/20,-108,2,92.0,-25790,Ты пари#bh#_#bh#JONY
